,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT
693,departamento nuevo en venta 40m2 amueblado san rafael,2500000,NA,NA,NA,easyaviso,25:53.3,NA,19.4422035,-99.1624908,SAN RAFAEL II,15-074
694,departamentos en preventa san rafael cuauhtemoc entrega agosto 2026,2489308,39.35,NA,NA,easyaviso,25:53.3,63260.68615,19.4402688,-99.162113,SAN RAFAEL II,15-074
695,preventa departamento en venta en san rafael,4378000,71,2,2,easyaviso,25:53.3,61661.97183,19.4354665,-99.1649706,SAN RAFAEL II,15-074
696,departamento colonia san rafael cuauhtemoc,5865146,110,2,2,easyaviso,25:53.3,53319.50909,19.4373575,-99.1641888,SAN RAFAEL II,15-074
697,departamento en col. san rafael  73m2 con terraza,4200000,73,NA,2,easyaviso,25:53.3,57534.24658,19.43463699,-99.16353537,SAN RAFAEL II,15-074
698,departamento en casa cataloga en la colonia san rafael,8268000,105,2,2,easyaviso,25:53.3,78742.85714,19.4387066,-99.1624544,SAN RAFAEL II,15-074
699,departamento en venta en san rafael,6550000,85,2,2,easyaviso,25:53.3,77058.82353,19.4374812,-99.1641122,SAN RAFAEL II,15-074
700,departamentos para estrenar colonia san rafael gabino barreda 89,3200000,48.27,NA,NA,easyaviso,25:53.3,66293.76424,19.4375553,-99.1640464,SAN RAFAEL II,15-074
701,preventa departamento 1 recamara san rafael,3560537,50.56,NA,NA,easyaviso,25:53.3,70422.01345,19.4381826,-99.1626277,SAN RAFAEL II,15-074
702,departamento preventa jul 26 en la san rafael,3999512,63.35,2,2,easyaviso,25:53.3,63133.57537,19.4381826,-99.1626277,SAN RAFAEL II,15-074
703,departamento preventa junio 26 en la san rafael,3460537,50.56,2,2,easyaviso,25:53.3,68444.16535,19.4381826,-99.1626277,SAN RAFAEL II,15-074
704,departamento en venta col san rafael,3539000,67,2,2,easyaviso,25:53.3,52820.89552,19.4356092,-99.1644128,SAN RAFAEL II,15-074
705,departamento en venta en san rafael 1 recamaras,3918800,71,NA,NA,easyaviso,25:53.3,55194.3662,19.4374624,-99.1618411,SAN RAFAEL II,15-074
706,venta departamento col san rafael,4850000,66.19,2,2,easyaviso,25:53.3,73273.90845,19.4389929,-99.1635993,SAN RAFAEL II,15-074
707,departamento en venta colonia san rafael con terraza,6500000,148,2,3,easyaviso,25:53.3,43918.91892,19.43896858,-99.16362054,SAN RAFAEL II,15-074
708,departamento en venta  con roof privado,4900000,85,NA,2,easyaviso,25:53.3,57647.05882,19.435498,-99.1666623,SAN RAFAEL II,15-074
709,departamentos en preventa en san rafael ciudad de mexico,2696600,37,NA,NA,easyaviso,25:53.3,72881.08108,19.4374601,-99.1618309,SAN RAFAEL II,15-074
710,departamento de oportunidad en venta san cosme kf268,3333000,69,NA,2,easyaviso,25:53.3,48304.34783,19.4373262,-99.1617888,SAN RAFAEL II,15-074
711,venta de departamento en preventa cuauhtemoc san rafael jose rosas moreno 85,2831430,37,NA,NA,easyaviso,25:53.3,76525.13514,19.4374624,-99.1618411,SAN RAFAEL II,15-074
712,gabino barreda  san rafael,5865146,84,2,2,easyaviso,25:53.3,69823.16667,19.4389929,-99.1635993,SAN RAFAEL II,15-074
713,jose rosas moreno san rafael,4095238,37,NA,NA,easyaviso,25:53.3,110682.1081,19.4371305,-99.1620879,SAN RAFAEL II,15-074
714,jose rosas moreno san rafael,2729580,37,NA,NA,easyaviso,25:53.3,73772.43243,19.4371305,-99.1620879,SAN RAFAEL II,15-074
715,jose rosas moreno san rafael,2831430,36,NA,NA,easyaviso,25:53.3,78650.83333,19.4371305,-99.1620879,SAN RAFAEL II,15-074
716,gabino barreda san rafael,5991034,86,2,2,easyaviso,25:53.3,69663.18605,19.4389929,-99.1635993,SAN RAFAEL II,15-074
717,departamento en venta en colonia san rafael,4460000,54,NA,NA,easyaviso,25:53.3,82592.59259,19.4373262,-99.1617888,SAN RAFAEL II,15-074
718,departamento en venta en colonia san rafael,4650000,57,NA,NA,easyaviso,25:53.3,81578.94737,19.4373262,-99.1617888,SAN RAFAEL II,15-074
719,departamento en venta en colonia san rafael,3660000,43,NA,NA,easyaviso,25:53.3,85116.27907,19.4373262,-99.1617888,SAN RAFAEL II,15-074
720,venta departamento col. san rafael cuauhtemoc,2590000,79,NA,3,easyaviso,25:53.3,32784.81013,19.437856,-99.1664465,SAN RAFAEL II,15-074
721,col san rafael departamento en venta,3600000,92,NA,2,easyaviso,25:53.3,39130.43478,19.4410208,-99.1621499,SAN RAFAEL II,15-074
722,departamento recientemente remodelado,3700000,72,2,2,easyaviso,25:53.3,51388.88889,19.4373262,-99.1617888,SAN RAFAEL II,15-074
723,departamento en preventa con roof garden privado en col. san rafael,4110052,37,NA,NA,easyaviso,25:53.3,111082.4865,19.43411812,-99.16249034,SAN RAFAEL II,15-074
724,departamento en preventa con roof garden privado en col. san rafael,3997952,35,NA,NA,easyaviso,25:53.3,114227.2,19.43411812,-99.16249034,SAN RAFAEL II,15-074
725,departamento en preventa con roof garden privado en col. san rafael,2790317,35,NA,NA,easyaviso,25:53.3,79723.34286,19.43411812,-99.16249034,SAN RAFAEL II,15-074
726,departamentos en preventa en san rafel entrega en enero 2026,3500000,48.48,NA,NA,easyaviso,25:53.3,72194.71947,19.4394812,-99.1621122,SAN RAFAEL II,15-074
727,vendo hermoso y moderno departamento,3800000,68.9,NA,NA,easyaviso,25:53.3,55152.39478,19.4373262,-99.1617888,SAN RAFAEL II,15-074
728,departamento venta san rafael 108 m2   depto 105,5991034,108,2,2,easyaviso,25:53.3,55472.53704,19.4383442,-99.1632038,SAN RAFAEL II,15-074
729,departamento venta san rafael 113 m2   depto 104,6050646,113,2,2,easyaviso,25:53.3,53545.53982,19.4403442,-99.1612038,SAN RAFAEL II,15-074
730,departamento venta san rafael 110 m2   depto 103,5865146,110,2,2,easyaviso,25:53.3,53319.50909,19.4393442,-99.1622038,SAN RAFAEL II,15-074
731,departamento venta san rafael 97 m2  pb,6080452,97,2,2,easyaviso,25:53.3,62685.07216,19.4363442,-99.1652038,SAN RAFAEL II,15-074
732,lofts en preventa a 2 calles de metro san cosme cuauhtemoc,2489308,39.35,NA,NA,easyaviso,25:53.3,63260.68615,19.4373262,-99.1617888,SAN RAFAEL II,15-074
733,departamentos  en preventa a 2 calles de metro san cosme cuauhtemoc,3648604,53.8,NA,2,easyaviso,25:53.3,67817.91822,19.4373262,-99.1617888,SAN RAFAEL II,15-074
734,departamento bien iluminado en la san rafael,6400000,115,2,3,easyaviso,25:53.3,55652.17391,19.43977534,-99.16522844,SAN RAFAEL II,15-074
735,departamento en distrito 149 san rafael,4858000,74.39,2,2,easyaviso,25:53.3,65304.47641,19.4354691,-99.165073,SAN RAFAEL II,15-074
736,venta de departamento en preventa cuauhtemoc san rafael jose rosas moreno 85,4114740,37,NA,NA,easyaviso,25:53.3,111209.1892,19.4374624,-99.1618411,SAN RAFAEL II,15-074
737,penthouse en venta en gabino barreda 93 san rafael cuauhtemoc 06470 cdmx,5862480,90,2,2,easyaviso,25:53.3,65138.66667,19.4373575,-99.1641888,SAN RAFAEL II,15-074
738,penthouse en venta en gabino barreda 93 san rafael cuauhtemoc 06470 cdmx,5330000,86,2,2,easyaviso,25:53.3,61976.74419,19.4373575,-99.1641888,SAN RAFAEL II,15-074
739,penthouse en venta en gabino barreda 93 san rafael cuauhtemoc 06470 cdmx,5756400,86,2,2,easyaviso,25:53.3,66934.88372,19.4373575,-99.1641888,SAN RAFAEL II,15-074
740,departamento en venta en gabino barreda 93 san rafael cuauhtemoc 06470 cdmx,5991034,90,2,2,easyaviso,25:53.3,66567.04444,19.4373575,-99.1641888,SAN RAFAEL II,15-074
741,departamento en venta en gabino barreda 93 san rafael cuauhtemoc 06470 cdmx,7540000,125,2,3,easyaviso,25:53.3,60320,19.4373575,-99.1641888,SAN RAFAEL II,15-074
742,departamento en venta en gabino barreda 93 san rafael cuauhtemoc 06470 cdmx,5865146,86,2,2,easyaviso,25:53.3,68199.37209,19.4373575,-99.1641888,SAN RAFAEL II,15-074
743,pentgarden en venta en gabino barreda 93 san rafael cuauhtemoc 06470 cdmx,6080452,85,2,2,easyaviso,25:53.3,71534.72941,19.4373575,-99.1641888,SAN RAFAEL II,15-074
744,departamento en venta en san rafael,3600000,78,2,3,easyaviso,25:53.3,46153.84615,19.4365173,-99.1649418,SAN RAFAEL II,15-074
745,departamento en venta en col. san rafael,3166000,40,NA,NA,easyaviso,25:53.3,79150,19.4381826,-99.1626277,SAN RAFAEL II,15-074
746,departamento con balcon en venta en san rafael,4650000,62,2,NA,easyaviso,25:53.3,75000,19.4373262,-99.1617888,SAN RAFAEL II,15-074
747,departamento en venta jose rosas moreno san rafael cuahutemoc.,2861000,37,NA,NA,easyaviso,25:53.3,77324.32432,19.43744676,-99.16188955,SAN RAFAEL II,15-074
748,departamento en venta jose rosas moreno san rafael cuahutemoc.,4175000,73,NA,NA,easyaviso,25:53.3,57191.78082,19.43744676,-99.16188955,SAN RAFAEL II,15-074
749,venta depa nuevo san rafael cuauhtemoc,5533157,97,2,2,easyaviso,25:53.3,57042.85567,19.4373442,-99.1642038,SAN RAFAEL II,15-074
750,departamento en venta. san rafael cuauhtemoc. zp213,2850000,55,NA,2,easyaviso,25:53.3,51818.18182,19.4373262,-99.1617888,SAN RAFAEL II,15-074
751,hermoso departamento en colonia cuauhtemoc,9500000,180,2,2,easyaviso,25:53.3,52777.77778,19.4342371,-99.1636598,SAN RAFAEL II,15-074
752,departamento venta san rafael cuauhtemoc ciudad de mexicocdmx,3333000,69,NA,2,easyaviso,25:53.3,48304.34783,19.4373262,-99.1617888,SAN RAFAEL II,15-074
753,departamento venta col. san rafael,4221900,65.4,NA,NA,easyaviso,25:53.3,64555.04587,19.4401419,-99.163257,SAN RAFAEL II,15-074
754,ph venta col. san rafael,6879600,65.4,2,2,easyaviso,25:53.3,105192.6606,19.4401419,-99.163257,SAN RAFAEL II,15-074
755,estrena departamento con vistas arboladas a 1 min del angel,5700000,78,2,2,easyaviso,25:53.3,73076.92308,19.4361732,-99.1673767,SAN RAFAEL II,15-074
756,penthouse en venta en san rafael,4700267,75.28,2,2,easyaviso,25:53.3,62437.12806,19.4392445,-99.1631588,SAN RAFAEL II,15-074
757,moderno departamento en san rafael,7250000,122,2,2,easyaviso,25:53.3,59426.22951,19.43843503,-99.16175639,SAN RAFAEL II,15-074
758,departamento en venta en san rafael,2489308,39.35,NA,NA,easyaviso,25:53.3,63260.68615,19.4382445,-99.1641588,SAN RAFAEL II,15-074
759,condo con roof garden comun en venta san rafael cdmx,4300000,65,NA,2,easyaviso,25:53.3,66153.84615,19.43990526,-99.16261912,SAN RAFAEL II,15-074
760,departamento con roof garden comun en venta san rafael cdmx,3800000,59,NA,2,easyaviso,25:53.3,64406.77966,19.4400469,-99.1626835,SAN RAFAEL II,15-074
761,oportunidad unica departamento en venta en colonia san rafael,2939821.92,40,NA,NA,easyaviso,25:53.3,73495.548,19.4402445,-99.1621588,SAN RAFAEL II,15-074
762,departamento en preventa  en san rafael,4469000,62,2,2,easyaviso,25:53.3,72080.64516,19.4354665,-99.1649706,SAN RAFAEL II,15-074
763,departamento en venta gabino barreda san rafael,5569000,86,2,2,easyaviso,25:53.3,64755.81395,19.438993,-99.163599,SAN RAFAEL II,15-074
764,departamento roof garden priv en san rafael,5708157,109,2,2,easyaviso,25:53.3,52368.41284,19.437326,-99.161789,SAN RAFAEL II,15-074
765,departamento con roof garden priv  en la san rafael,5651919,103,2,2,easyaviso,25:53.3,54873,19.4389929,-99.1635993,SAN RAFAEL II,15-074
766,departamento en preventa abril 2025 jose rosas moreno san rafael cuauhtemoc,4036001,72,NA,NA,easyaviso,25:53.3,56055.56944,19.43713,-99.162088,SAN RAFAEL II,15-074
767,ultimos departamentos en  san rafael,5487300,85,2,2,easyaviso,25:53.3,64556.47059,19.438993,-99.163599,SAN RAFAEL II,15-074
768,parque altamirano colonia san rafael alcaldia cuauhtemoc.,2500000,39.35,NA,NA,easyaviso,25:53.3,63532.40152,19.4373262,-99.1617888,SAN RAFAEL II,15-074
769,all vista reforma departamentos con diversas areas comunes,3790500,69,2,2,easyaviso,25:53.3,54934.78261,19.437326,-99.161789,SAN RAFAEL II,15-074
770,departamento en esquina exterior,3600000,90,NA,2,easyaviso,25:53.3,40000,19.4392199,-99.1646928,SAN RAFAEL II,15-074
771,san rafael gabino barreda,6350000,84.2,2,2,easyaviso,25:53.3,75415.67696,19.4389929,-99.1635993,SAN RAFAEL II,15-074
772,gabino barreda,6350000,84.2,2,2,easyaviso,25:53.3,75415.67696,19.4369929,-99.1655993,SAN RAFAEL II,15-074
773,departamento en venta en san rafael,6050646,113,2,2,easyaviso,25:53.3,53545.53982,19.4363442,-99.1652038,SAN RAFAEL II,15-074
774,hermoso departamento en san rafael.,3247300,39,NA,NA,easyaviso,25:53.3,83264.10256,19.43715336,-99.1618681,SAN RAFAEL II,15-074
775,departamento en venta maestro antonio caso 149 san rafael,4465700,70,2,2,easyaviso,25:53.3,63795.71429,19.4354665,-99.1649706,SAN RAFAEL II,15-074
776,preventa en san rafael,4850000,66.9,2,2,easyaviso,25:53.3,72496.26308,19.4374812,-99.1641122,SAN RAFAEL II,15-074
777,aprovecha solo quedan 2 depa 1 hab  1 bano en san cosme colonia san rafael,3239800,40.08,NA,NA,easyaviso,25:53.3,80833.33333,19.4417134,-99.1618103,SAN RAFAEL II,15-074
778,departamento en venta col. san rafael cuauhtemoc,5900000,110,2,2,easyaviso,25:53.3,53636.36364,19.4389929,-99.1635993,SAN RAFAEL II,15-074
779,departamento en venta 1 recamara con balcon col san rafael,3200000,42.22,NA,NA,easyaviso,25:53.3,75793.46281,19.4374812,-99.1641122,SAN RAFAEL II,15-074
780,gabino barreda 89 depto en preventa 1 recamara con balcon de 48m2,3400000,NA,NA,NA,easyaviso,25:53.3,NA,19.4374812,-99.1641122,SAN RAFAEL II,15-074
781,gabino barreda 89 depto en preventa 2 recamaras con balcon de 84m2,6450000,NA,2,2,easyaviso,25:53.3,NA,19.4374812,-99.1641122,SAN RAFAEL II,15-074
782,gabino barreda 89 depto en preventa 2 recamaras con balcon de 84m2,6350000,NA,2,2,easyaviso,25:53.3,NA,19.4385126,-99.16370432,SAN RAFAEL II,15-074
783,departamento en venta en col. san rafael,6050646,113,2,2,easyaviso,25:53.3,53545.53982,19.4373442,-99.1642038,SAN RAFAEL II,15-074
784,departamento en san rafael,7129070,94.94,2,2,easyaviso,25:53.3,75090.26754,19.4373262,-99.1617888,SAN RAFAEL II,15-074
785,departamento san rafael,3800000,56.6,NA,2,easyaviso,25:53.3,67137.80919,19.4373262,-99.1617888,SAN RAFAEL II,15-074
786,preventa de exclusivos departamentos en la colonia san rafael,4900000,69.64,2,2,easyaviso,25:53.3,70361.861,19.4374812,-99.1641122,SAN RAFAEL II,15-074
787,preventa de exclusivos departamentos en la colonia san rafael,3200000,48.27,NA,NA,easyaviso,25:53.3,66293.76424,19.4389929,-99.1635993,SAN RAFAEL II,15-074
788,departamento en venta en san rafael 2 recamaras,6.00E+06,121.61,2,2,easyaviso,25:53.3,49338.04786,19.4394568,-99.1658032,SAN RAFAEL II,15-074
789,pre venta departamento en col. san rafael  cuauhtemoc,4350000,79.5,NA,NA,easyaviso,25:53.3,54716.98113,19.4373262,-99.1617888,SAN RAFAEL II,15-074
790,pre venta departamentos en col. san rafael cuauhtemoc,5990000,88,2,2,easyaviso,25:53.3,68068.18182,19.4374812,-99.1641122,SAN RAFAEL II,15-074
791,gabino barreda 89 depto en preventa 2 recamaras con balcon de 72m2,5750000,NA,2,2,easyaviso,25:53.3,NA,19.4389929,-99.1635993,SAN RAFAEL II,15-074
792,gabino barreda 89 depto en preventa 2 recamaras con balcon de 84m2,6250000,NA,2,2,easyaviso,25:53.3,NA,19.4374812,-99.1641122,SAN RAFAEL II,15-074
793,gabino barreda 89 depto en preventa 1 recamara con balcon de 48m2,3200000,NA,NA,NA,easyaviso,25:53.3,NA,19.4374812,-99.1641122,SAN RAFAEL II,15-074
794,gabino barreda 89 depto en preventa 2 recamaras con balcon de 69m2,4900000,NA,NA,NA,easyaviso,25:53.3,NA,19.4373262,-99.1617888,SAN RAFAEL II,15-074
795,gabino barreda 89 depto en preventa 2 recamaras con balcon de 84m2,6150000,NA,2,2,easyaviso,25:53.3,NA,19.4389929,-99.1635993,SAN RAFAEL II,15-074
796,gabino barreda 89 depto en preventa 1 recamara con terraza de 62m2,4650000,NA,NA,NA,easyaviso,25:53.3,NA,19.4389929,-99.1635993,SAN RAFAEL II,15-074
797,gabino barreda 89 depto en preventa 2 recamaras con terraza de 88m2,5990000,NA,NA,NA,easyaviso,25:53.3,NA,19.4374812,-99.1641122,SAN RAFAEL II,15-074
798,gabino barreda 89 depto en preventa 2 recamaras con terraza de 71m2,5350000,NA,NA,2,easyaviso,25:53.3,NA,19.4374812,-99.1641122,SAN RAFAEL II,15-074
799,departamento en venta en col. san rafael,8500000,240,2,2,easyaviso,25:53.3,35416.66667,19.4359815,-99.162201,SAN RAFAEL II,15-074
800,departamento en venta en la colonia san rafael,6200000,111,2,2,easyaviso,25:53.3,55855.85586,19.4394568,-99.1658032,SAN RAFAEL II,15-074
801,hermoso departamento en col san rafael.,4150000,72,NA,NA,easyaviso,25:53.3,57638.88889,19.4363201,-99.1627645,SAN RAFAEL II,15-074
802,hermoso departamento en col san rafael.,3025000,37,NA,NA,easyaviso,25:53.3,81756.75676,19.4353201,-99.1637645,SAN RAFAEL II,15-074
803,hermoso departamento en col san rafael.,2810000,36,NA,NA,easyaviso,25:53.3,78055.55556,19.4353201,-99.1637645,SAN RAFAEL II,15-074
804,hermoso departamento en col san rafael.,3100000,40,NA,NA,easyaviso,25:53.3,77500,19.4353201,-99.1637645,SAN RAFAEL II,15-074
805,hermoso departamento en col san rafael.,2840000,37,NA,NA,easyaviso,25:53.3,76756.75676,19.4353201,-99.1637645,SAN RAFAEL II,15-074
806,hermoso departamento en col san rafael.,2735000,36,NA,NA,easyaviso,25:53.3,75972.22222,19.4353201,-99.1637645,SAN RAFAEL II,15-074
807,departamentos en gabino barreda san rafael,5372640,84,2,3,easyaviso,25:53.3,63960,19.4373262,-99.1617888,SAN RAFAEL II,15-074
808,departamento en venta en san rafael 2 recamaras,4417306,91.62,2,2,easyaviso,25:53.3,48213.3377,19.4402445,-99.1621588,SAN RAFAEL II,15-074
809,departamento en venta en la col. san rafael alcaldia cuauhtemoc,7130000,95,2,2,easyaviso,25:53.3,75052.63158,19.4373262,-99.1617888,SAN RAFAEL II,15-074
810,departamento con amenidades en san rafael.,5533157,84,2,2,easyaviso,25:53.3,65870.91667,19.4363262,-99.1627888,SAN RAFAEL II,15-074
811,departamentos preventa en san rafael cuauhtemoc cdmx,2633618,37,NA,NA,easyaviso,25:53.3,71178.86486,19.4374624,-99.1618411,SAN RAFAEL II,15-074
812,departamento exterior con balcon con fachada catalogada 1 min del angel,7.00E+06,81,2,2,easyaviso,25:53.3,86419.75309,19.4346992,-99.1629505,SAN RAFAEL II,15-074
813,san rafael negociable 2 recamaras 1 bano,3300033,69,NA,2,easyaviso,25:53.3,47826.56522,19.4378358,-99.1646859,SAN RAFAEL II,15-074
814,departamento en venta en san rafael alcaldia cuauhtemoc.,5250000,79.93,NA,2,easyaviso,25:53.3,65682.47216,19.4373262,-99.1617888,SAN RAFAEL II,15-074
815,departamento en venta en san rafael alcaldia cuauhtemoc.,4700000,67.45,NA,2,easyaviso,25:53.3,69681.24537,19.4373262,-99.1617888,SAN RAFAEL II,15-074
816,departamento en venta en san rafael alcaldia cuauhtemoc.,3150000,46.3,NA,NA,easyaviso,25:53.3,68034.55724,19.4373262,-99.1617888,SAN RAFAEL II,15-074
817,departamento en venta san rafael cuauhtemoc,6600000,118,2,2,easyaviso,25:53.3,55932.20339,19.4392199,-99.1646928,SAN RAFAEL II,15-074
818,departamento en venta en san rafael cuauhtemoc.,3621255,57.88,2,2,easyaviso,25:53.3,62564.8756,19.4373262,-99.1617888,SAN RAFAEL II,15-074
819,departamento en venta en san rafael alcaldia cuauhtemoc.,3592413,55.65,2,2,easyaviso,25:53.3,64553.69272,19.4373262,-99.1617888,SAN RAFAEL II,15-074
820,departamento en venta en  san rafael alcaldia cuauhtemoc .,2844821,39.95,NA,NA,easyaviso,25:53.3,71209.53692,19.4373262,-99.1617888,SAN RAFAEL II,15-074
821,excelente oportunidad  san rafael,5400000,83,2,2,easyaviso,25:53.3,65060.24096,19.43964221,-99.1672647,SAN RAFAEL II,15-074
822,preventa departamento san rafael,3681348.15,75.28,2,2,easyaviso,25:53.3,48902.07426,19.4402445,-99.1621588,SAN RAFAEL II,15-074
823,preventa departamento san rafael,2829744.63,53.8,NA,2,easyaviso,25:53.3,52597.48383,19.4402445,-99.1621588,SAN RAFAEL II,15-074
824,preventa de departamento san rafael cuauhtemoc cdmx.,3013150,40,NA,NA,easyaviso,25:53.3,75328.75,19.4373262,-99.1617888,SAN RAFAEL II,15-074
825,preventa de departamentos en san rafael,2607000,36,NA,NA,easyaviso,25:53.3,72416.66667,19.4354624,-99.1638411,SAN RAFAEL II,15-074
826,departamento en san rafael,2600000,36,NA,NA,easyaviso,25:53.3,72222.22222,19.4364624,-99.1628411,SAN RAFAEL II,15-074
827,departamento  torre calatrava,3790000,68,NA,2,easyaviso,25:53.3,55735.29412,19.4398744,-99.1663083,SAN RAFAEL II,15-074
828,hermoso departamento en san rafael.,5422000,84,2,2,easyaviso,25:53.3,64547.61905,19.4399929,-99.1625993,SAN RAFAEL II,15-074
829,hermoso departamento en san rafael.,4049000,87,NA,3,easyaviso,25:53.3,46540.22989,19.4358598,-99.1663461,SAN RAFAEL II,15-074
830,departamento serapio rendon ii,4800000,67.4,NA,2,easyaviso,25:53.3,71216.61721,19.4373262,-99.1617888,SAN RAFAEL II,15-074
831,departamento en venta en la colonia san rafael,3650000,47,NA,NA,easyaviso,25:53.3,77659.57447,19.4388062,-99.1634967,SAN RAFAEL II,15-074
832,departamento en venta san rafael cuauhtemoc. ciudad de mexico.,3790500,69,2,2,easyaviso,25:53.3,54934.78261,19.4394703,-99.1674069,SAN RAFAEL II,15-074
833,preventa abril 2025 jose rosas moreno san rafael cuauhtemoc,2599927,36,NA,NA,easyaviso,25:53.3,72220.19444,19.4371305,-99.1620879,SAN RAFAEL II,15-074
834,departamentos nuevos en san rafael,3211610.63,60.67,2,2,easyaviso,25:53.3,52935.7282,19.4381826,-99.1626277,SAN RAFAEL II,15-074
835,hermoso departamento en venta en san rafael.,3999000,87,NA,3,easyaviso,25:53.3,45965.51724,19.4398598,-99.1623461,SAN RAFAEL II,15-074
836,departamento en preventa  en san rafael,3389000,62,2,2,easyaviso,25:53.3,54661.29032,19.4354665,-99.1649706,SAN RAFAEL II,15-074
837,venta departamento en san rafael cuauhtemoc,5372640,84,2,2,easyaviso,25:53.3,63960,19.4373442,-99.1642038,SAN RAFAEL II,15-074
838,departamento con 2 recamaras balcon y roof privado col san rafael 110m2,5865146,110,2,2,easyaviso,25:53.3,53319.50909,19.4383575,-99.1631888,SAN RAFAEL II,15-074
839,con terraza 2 recamaras roof privado col san rafael 97m2,6080452,97,2,2,easyaviso,25:53.3,62685.07216,19.4393575,-99.1621888,SAN RAFAEL II,15-074
840,departamento venta col. san rafael,5372640,97,2,3,easyaviso,25:53.3,55388.04124,19.4389929,-99.1635993,SAN RAFAEL II,15-074
841,increible departamento en san rafael,4900000,83,2,2,easyaviso,25:53.3,59036.14458,19.4424703,-99.1644069,SAN RAFAEL II,15-074
842,increible departamento en san rafael,4521100,75,2,2,easyaviso,25:53.3,60281.33333,19.4414703,-99.1654069,SAN RAFAEL II,15-074
843,preventa departamento colonia  san rafael alcaldia cuahtemoc,7611240,148,2,3,easyaviso,25:53.3,51427.2973,19.4373262,-99.1617888,SAN RAFAEL II,15-074
844,departamento en venta en san rafael,5991034,108,2,2,easyaviso,25:53.3,55472.53704,19.4373575,-99.1641888,SAN RAFAEL II,15-074
845,preventa de depto en col san rafael,2988808,40,NA,NA,easyaviso,25:53.3,74720.2,19.4374624,-99.1618411,SAN RAFAEL II,15-074
846,edificio  col. san rafael cuauhtemoc cuidad de mexico.,1.10E+08,400,5,10,easyaviso,25:53.3,275000,19.4415975,-99.1654649,SAN RAFAEL II,15-074
847,desarrollo en san rafael,5514600,97,2,2,easyaviso,25:53.3,56851.54639,19.4373262,-99.1617888,SAN RAFAEL II,15-074
848,departamentos en venta en col. san rafael. cuauhtemoc. cdmx.,5380000,107,2,2,easyaviso,25:53.3,50280.37383,19.4373575,-99.1641888,SAN RAFAEL II,15-074
849,departamento venta rosas moreno san rafael,4903253,111,2,2,easyaviso,25:53.3,44173.45045,19.4371305,-99.1620879,SAN RAFAEL II,15-074
850,venta departamento gabino barreda san rafael,6080452,113,2,2,easyaviso,25:53.3,53809.30973,19.4389929,-99.1635993,SAN RAFAEL II,15-074
851,exclusiva preventa de departamentos en san rafael,2185575,37.87,NA,NA,easyaviso,25:53.3,57712.56932,19.4381826,-99.1626277,SAN RAFAEL II,15-074
852,departamentos en venta gabino barreda,5116800,110,2,2,easyaviso,25:53.3,46516.36364,19.4373575,-99.1641888,SAN RAFAEL II,15-074
853,departamento venta col. san rafael,2300000,30.66,NA,NA,easyaviso,25:53.3,75016.30789,19.4373262,-99.1617888,SAN RAFAEL II,15-074
854,se vende bonito departamento en la san rafael,3800000,59.6,NA,2,easyaviso,25:53.3,63758.38926,19.4401419,-99.163257,SAN RAFAEL II,15-074
855,se vende bonito departamento en la san rafael,4300000,75.33,NA,NA,easyaviso,25:53.3,57082.17178,19.4401419,-99.163257,SAN RAFAEL II,15-074
856,departamento en venta en la col. san rafael alcaldia cuauhtemoc,9470000,135,3,3,easyaviso,25:53.3,70148.14815,19.4373262,-99.1617888,SAN RAFAEL II,15-074
857,departamento en venta en la col. san rafael alcaldia cuauhtemoc,8300000,116,2,3,easyaviso,25:53.3,71551.72414,19.4373262,-99.1617888,SAN RAFAEL II,15-074
858,departamentos en venta con balcon o roof privado san rafael,5865143,84,2,2,easyaviso,25:53.3,69823.13095,19.4387066,-99.1624544,SAN RAFAEL II,15-074
859,departamento con terraza en la san rafael,3918800,72,NA,NA,easyaviso,25:53.3,54427.77778,19.43745183,-99.1617608,SAN RAFAEL II,15-074
860,remate depa en san rafael cuauhtemoc aprovecha hoy,750000,90,NA,3,easyaviso,25:53.3,8333.333333,19.4425845,-99.1639632,SAN RAFAEL II,15-074
861,estrena departamento en la colonia san rafael,3670000,61,2,2,easyaviso,25:53.3,60163.93443,19.4373262,-99.1617888,SAN RAFAEL II,15-074
862,departamento en venta en colonia san rafael,2729580,36,NA,NA,easyaviso,25:53.3,75821.66667,19.43411812,-99.16249034,SAN RAFAEL II,15-074
863,departamento en venta en colonia san rafael,4114740,35,NA,NA,easyaviso,25:53.3,117564,19.43411812,-99.16249034,SAN RAFAEL II,15-074
864,departamento en venta en colonia san rafael,4175850,37,NA,NA,easyaviso,25:53.3,112860.8108,19.43411812,-99.16249034,SAN RAFAEL II,15-074
865,departamento en venta en colonia san rafael guillermo prieto,3950000,57.28,NA,2,easyaviso,25:53.3,68959.49721,19.4371601,-99.1621779,SAN RAFAEL II,15-074
866,gran inversion remate depa en san rafael cuauhtemoc,502114,80,NA,3,easyaviso,25:53.3,6276.425,19.4425845,-99.1639632,SAN RAFAEL II,15-074
867,departamento en san rafael,2850000,59,NA,2,easyaviso,25:53.3,48305.08475,19.4365596,-99.1649459,SAN RAFAEL II,15-074
868,departamentos en san rafael,5487300,84,2,2,easyaviso,25:53.3,65325,19.4389929,-99.1635993,SAN RAFAEL II,15-074
